3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
3d1m_C	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B	_0_F_5_E_0_-_3_G_9_E_0_-_0_-_4_C_7_I_0_-_2_A_6_C	0.395
4c47_B	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B	_1_B_6_D_4_J_0_-_2_I_5_A_2_F_9_e_2_E_3_A_5_G_3_b_2_F	0.456
1sk4_A	_9_c_0_-_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d	_0_c_13_G_8_k_14_B_0_-_5_B_17_E_10_j_7_H_0_b_9_e	0.443
1xnd_A	_0_G_4_F_2_H_0_l_11_G_5_F	_4_G_7_J_2_I_0_-_3_H_9_G	0.442
6yt9_i	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_4_D_0_-_2_j_3_G_4_F_0_-_1_A_2_A_0_-_4_B_22_F_2_B_0_-_1_e	0.404
1ylj_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b	_0_k_2_G_4_D_5_A_1_l_0_-_5_b_1_C_0_-_0_-_1_b_7_c_2_C_0_j_2_i_3_i_13_b_9_A_1_j_6_j_8_c	0.399
2ap6_A	_0_G_0_-_0_-_4_F_2_H_0_l_0_-_11_G	_0_G_4_f_5_g_1_F_7_F_3_i_3_h_4_F	0.379
2yba_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_6_E_3_E_10_C_5_E_0_-_6_E_3_E_0_-_0_-_8_C_0_-_5_E_6_E_4_D_0_b_6_c	0.370
2qvg_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B	_0_C_0_-_3_k_0_-_5_C_2_d_0_-_14_D_6_g_3_b_3_E_4_f_6_C	0.381
5eui_A	_2_d_8_n_3_b_13_c_5_c_21_k	_1_e_10_n_0_-_3_c_1_c_11_m	0.657
5ujz_B	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_E_2_E_0_-_1_n_0_-_18_z_4_C_3_C_0_-_5_g_9_f	0.369
1reg_X	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B	_0_C_5_i_1_D_4_C_0_-_1_E_2_E_0_f_8_l_4_A_15_A_5_b_1_C	0.505
7c2a_A	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_-_0_B_5_B_6_A_9_b_2_d_8_n	_0_F_1_c_9_j_3_F_0_-_5_k_0_-_7_D_2_d_4_m_4_C_5_b_1_g_1_g_3_B_0_-_0_-_4_b_3_b_9_m	0.484
1ebo_C	_8_n_3_b_13_c_5_c_21_k	_0_q_2_y_2_c_2_c_6_j	0.449
2qz6_A	_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_0_-_8_n_0_-_3_b_0_-_13_c_5_c_0_-_21_k_4_b_6_g	_0_l_4_G_2_H_13_B_0_-_1_m_9_c_1_b_0_-_0_-_0_-_3_b_3_d_13_h_9_A_3_k_5_c_6_b_4_A_4_e_19_c_3_A_1_j_1_b_2_i	0.447
5bwe_A	_0_l_0_-_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_13_c_5_c_0_-_21_k_4_b_6_g	_13_l_8_c_9_D_11_k_5_E_0_-_5_j_6_C_0_j_12_b_1_B_5_B_15_A_0_-_1_g_4_A_5_A_7_b_3_t_3_d_2_e_13_C_2_j_11_h_6_h	0.389
3bes_L	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_5_c_6_e_3_n_8_k_5_j_0_-_5_m_2_b	0.463
1nrz_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_0_-_5_B_6_A_9_b_0_-_2_d	_0_G_5_j_0_-_3_D_1_c_2_h_6_D_1_g_2_b_3_E_2_g_7_F_6_C_2_B_1_j_3_C_10_e	0.364
5vgu_B	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_0_G_1_k_2_I_2_G_1_l_6_G_0_-_4_e_6_f	0.595
2i7t_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_0_-_2_d	_5_B_2_F_7_F_0_-_2_D_18_D_0_-_10_m_3_D_6_k_1_b_4_B_4_B_12_D_7_i_6_C_8_d	0.413
1k2w_A	_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_0_-_21_k_4_b_6_g	_0_E_4_j_2_F_2_j_3_D_0_-_5_l_0_-_0_-_4_C_0_-_0_-_9_b_2_f_6_l_3_E_2_b_0_-_7_p_1_G_7_j_5_h_8_i	0.355
3obb_A	_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_0_-_5_c_0_-_21_k_4_b_6_g	_0_D_8_d_3_D_3_h_3_A_3_d_4_B_4_h_12_C_0_-_5_j_13_e_9_j_12_l_2_c_2_c_4_e_8_d_10_c_10_k_6_j_7_g	0.448
3lgj_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F	_0_F_4_C_5_I_2_G_2_i_5_J_3_E	0.508
1qou_A	_0_G_4_F_2_H_0_l_0_-_11_G_0_-_5_F	_5_C_7_G_13_I_4_b_1_C_11_H_13_f_7_F	0.384
1csn_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_3_H_4_F_4_H_7_i_9_F_2_F_5_f_6_n_3_A_5_b_0_B_10_B_6_A_0_-_26_c_6_m_12_k_2_c_5_j_8_k_9_b	0.748
2cpd_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_0_D_7_h_6_E_3_E_2_j_2_B_2_E	0.482
1mkf_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b	_2_H_0_b_5_E_7_H_0_-_2_I_10_D_4_c_0_-_0_-_12_b_4_B_10_C_2_e_10_F_1_b	0.506
1y7p_B	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_0_-_8_n	_0_G_0_-_5_j_3_H_3_b_3_G_3_g_5_F_2_d_1_F_1_n_5_F_3_k_3_F_6_j_3_D_0_-_0_-_5_c_2_B_2_j	0.370
1xkp_A	_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b_6_g	_0_g_10_l_8_h_19_c_2_f_3_v_6_k_4_g_7_g	0.415
2kvk_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_5_G_5_e_8_I_2_J_6_m_0_-_3_E_2_c_1_l	0.588
2o30_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_2_F_6_B_4_E_2_G_0_-_3_J_2_G	0.536
1xty_A	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_0_G_6_n_4_j_4_E_0_-_2_k_4_D_11_I_0_g_0_-_3_B	0.373
1vr6_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_0_-_5_c_21_k_0_-_4_b_6_g	_0_H_5_k_2_F_4_H_4_d_4_E_18_A_4_A_3_F_0_-_6_k_4_B_17_k_2_D_3_i_2_C_0_-_1_b_3_g_5_C_6_k_5_D_17_g_4_B_1_d_2_k_3_E_3_b_4_b	0.352
1dwm_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_4_j_4_E_12_E_0_-_0_-_4_A_0_-_4_B	0.363
7dxm_A	_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_13_c_5_c_21_k_4_b_6_g	_5_D_2_c_6_f_5_D_6_g_3_c_3_D_0_-_0_-_2_b_7_d_4_h_5_k_6_g_6_q_5_d_1_e_6_k_10_b_8_c	0.401
2kvz_A	_4_F_2_H_0_l_11_G_5_F	_0_E_5_G_14_b_0_E_12_H	0.554
1wv8_A	_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B	_0_H_4_D_0_-_0_-_9_A_2_h_2_e_9_D	0.411
1hh5_A	_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_C_6_C_0_-_0_-_0_g_0_-_1_b_12_c_5_c_0_-_8_c	0.399
3dqq_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_0_-_5_c_0_-_21_k_4_b_0_-_6_g	_0_D_2_k_4_D_12_D_7_m_0_-_4_D_0_-_12_j_5_C_3_b_1_C_2_C_2_A_0_b_1_c_0_-_10_e_6_C_1_e_1_k_4_C_4_j_4_C_1_j_6_b_6_D_4_i	0.409
5zrz_B	_2_d_8_n_3_b_13_c_5_c_21_k	_0_g_0_-_3_h_5_c_4_f_4_k	0.430
4kyi_F	_2_H_0_l_11_G_5_F_0_-_9_c_0_-_4_n_12_A_5_b_0_-_0_B	_0_H_6_g_13_H_4_H_4_b_3_c_4_F_3_m_5_F_4_b_4_i_3_B	0.456
1b6g_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_0_-_2_d_8_n_3_b_0_-_13_c_5_c_0_-_21_k_4_b_0_-_6_g	_10_C_0_-_0_-_8_G_6_C_7_c_0_-_0_-_3_e_3_D_0_-_9_A_2_b_2_l_4_D_2_e_3_b_1_b_0_F_11_c_10_f_6_g_5_g_5_b_1_j_6_g	0.405
1tr9_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k_0_-_4_b_0_-_6_g	_0_B_0_-_8_f_0_-_4_E_1_b_3_l_0_-_0_-_4_C_1_B_2_A_0_-_11_e_0_-_3_i_2_c_5_A_13_b_5_k_38_g_18_b_32_j_9_i	0.401
3kxi_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n	_6_E_2_F_9_l_2_F_4_m_7_E_8_l_3_E_0_-_8_l	0.379
3qo2_C	_2_H_0_l_11_G_0_-_5_F_9_c_4_n	_0_I_0_-_2_G_4_b_1_C_0_b_1_m	0.578
4km3_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_0_-_12_A_5_b_0_B_0_-_5_B_6_A	_15_D_2_B_13_H_0_-_31_B_2_C_0_-_5_n_6_k_3_B_5_c_26_C_2_C_14_B_5_B	0.442
3evy_A	_8_n_3_b_13_c_0_-_5_c_21_k	_0_n_0_-_3_d_4_o_7_b_4_l	0.546
3r4r_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b	_0_B_2_E_5_c_3_F_4_H_0_c_0_-_3_A_0_-_2_E_4_B_5_H_26_A_6_b	0.424
4h2l_A	_2_d_8_n_3_b_13_c_5_c_21_k	_1_e_10_m_0_-_5_c_1_d_10_m	0.610
4wvv_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b	_5_C_9_F_6_F_0_-_10_G_5_G_0_-_0_-_2_A_0_-_3_B_9_G_3_E_2_F_4_b	0.393
1xwo_B	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k	_4_E_2_F_0_-_0_q_1_A_15_f_4_A_3_e_2_r_7_A_2_b_13_p_8_s_1_A_0_-_0_-_1_e_3_k_4_m_9_f_7_c_2_d_10_m	0.382
3kul_B	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_H_3_I_2_J_5_k_10_D_1_b_2_D_6_e_7_n_2_A_5_b_0_B_5_B_6_A_15_b_2_e_4_l_11_h_12_i_4_b_3_k	0.680
5tby_E	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_c_2_c_9_j_6_i_6_h_8_d_0_-_3_b_7_A_0_g	0.437
1sz2_A	_0_G_4_F_2_H_0_-_0_l_11_G_0_-_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_G_2_G_5_G_0_b_3_j_6_E_7_A_7_A_10_E_0_d_0_-_0_-_6_b_0_B_11_E_3_H_2_E_2_b_0_-_7_k_5_b_3_k_9_i_3_j_2_i_4_D_4_h	0.454
1wte_A	_9_c_4_n_0_-_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k_4_b_6_g	_13_f_5_p_5_d_2_A_2_e_6_d_2_C_5_F_0_-_0_-_0_-_7_m_1_b_2_E_10_c_18_D_1_f_6_l_4_l_14_i	0.364
2jm5_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_f_3_e_1_k_6_j_4_j_16_i_9_j_5_c_2_f	0.405
1dys_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A	_5_D_0_-_3_f_3_n_0_-_5_E_3_c_2_m_7_C_14_b_7_k_6_D_3_A_16_A	0.419
1dek_A	_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_0_-_21_k	_0_E_6_j_0_-_2_B_4_k_9_c_14_l_0_-_0_-_9_B_4_B_0_-_1_j_7_e_14_k_6_C_5_h_3_E_10_b_9_C_4_k	0.372
4g6q_A	_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_0_-_2_d_8_n	_0_e_3_h_5_A_0_f_5_k_5_D_2_E_0_-_15_d_2_k_7_c_12_n	0.423
3v4f_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B	_0_H_5_i_11_I_2_I_3_b_0_-_3_d_4_F_3_d_1_j_6_E_10_j_3_B	0.387
3d1m_A	_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k	_0_A_23_c_1_A_5_B_0_-_7_b_0_A_1_m_5_D_0_-_12_c_2_E_4_k	0.418
2v4j_C	_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_B_2_B_0_-_10_b_2_j_6_m_0_-_5_g_3_f_0_-_10_b	0.442
4ur1_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_0_-_13_c_5_c_21_k_4_b_6_g	_4_E_2_b_3_C_6_e_2_G_5_A_4_C_4_G_2_c_5_r_4_A_8_f_4_A_5_B_6_G_13_g_1_d_30_j_5_d_1_b_4_B_4_B_1_c_6_d_0_-_5_b_5_c	0.418
2wb1_I	_9_c_4_n_12_A_5_b_0_B_5_B	_0_i_5_l_0_-_18_d_11_B_5_B	0.552
4xk8_L	_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b	_0_A_0_b_6_A_0_-_0_-_0_-_6_g_10_p_8_r_22_b	0.376
3ctk_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_1_F_5_F_4_H_0_-_2_G_3_e_7_F_2_g_0_-_0_-_3_b_0_-_0_-_0_-_4_j_0_-_6_j_6_b_1_e_13_g_1_j	0.372
1sei_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_4_D_0_-_2_j_3_G_4_F_0_-_11_B_8_A_1_b_9_E_2_C_0_-_0_f	0.423
3or1_C	_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_C_2_D_0_-_8_b_2_j_6_m_0_-_5_g_3_f_0_-_10_b	0.400
3fp9_F	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d	_0_G_0_-_4_E_2_F_5_b_0_-_5_C_0_-_5_C_7_G_5_D_5_E_0_-_1_c	0.367
7a24_E	_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b	_0_l_3_A_6_g_24_B_7_g_9_B_0_-_0_-_1_c_0_-_2_b_0_-_9_b_5_B_6_l_3_d	0.441
1ts9_A	_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d	_7_C_3_b_0_-_8_A_0_-_3_B_7_B_4_B_8_A_0_b_4_g	0.522
1fx0_A	_0_G_4_F_2_H_0_l_11_G_0_-_0_-_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b_6_g	_6_C_25_C_37_C_5_i_7_F_3_i_1_b_1_b_1_E_5_b_2_l_3_F_1_k_6_b_12_b_2_A_7_C_2_B_8_f_31_c_0_-_2_b_5_j_3_b_5_m_9_j_8_m_2_i	0.358
2mcf_A	_0_G_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n	_0_H_16_E_0_-_1_m_3_D_5_J_2_J_0_-_16_m	0.497
2ct7_A	_12_A_5_b_0_B_5_B_6_A_9_b	_0_A_0_-_8_A_7_A_6_A_16_j	0.456
4y7i_A	_4_F_2_H_0_l_11_G_0_-_5_F_0_-_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_3_E_4_E_11_j_8_D_3_h_13_D_5_l_6_j_1_n_5_C_6_k_1_c_0_-_0_-_0_-_1_f_11_c_13_l_8_k_10_e_2_c_3_f_1_b_20_b	0.398
1vcl_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_0_-_0_-_5_b_0_B_5_B_6_A_0_-_9_b_2_d_8_n_3_b	_4_D_5_F_8_b_1_I_0_-_5_H_5_C_7_D_5_b_0_-_1_B_5_H_5_C_6_E_5_b_1_C_4_B_5_C_7_D_5_b_0_-_1_A_2_b	0.362
5nm9_A	_9_c_4_n_0_-_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_3_b	_0_h_8_k_4_j_10_B_0_-_6_B_2_B_1_h_9_B_7_b_0_-_3_B_2_b	0.370
2hqq_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_13_c_0_-_5_c_21_k_0_-_4_b	_3_G_13_F_0_-_1_j_3_C_1_A_0_-_3_j_8_A_0_-_7_F_5_C_0_-_10_c_4_b_0_F_3_l_3_b_2_E_4_g_3_C_1_e_5_j_5_D_1_b	0.443
1olr_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F	_4_G_5_J_11_I_0_-_7_G_2_I_2_F	0.443
3rnl_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_B_7_h_0_-_4_A_8_e_33_D_20_B_0_-_4_g_12_e_1_e_4_b_0_-_3_b_1_j_1_b_0_A_3_e	0.412
6w4u_A	_0_G_0_-_4_F_0_-_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_0_-_21_k	_7_D_2_j_5_C_16_e_4_C_2_e_4_k_0_-_2_E_3_d_3_l_0_-_1_c_3_C_0_-_0_-_0_-_2_c_7_l_0_-_3_e_2_B_8_d_6_C_6_k	0.403
2p23_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_G_6_E_4_D_8_F_0_-_2_E_5_C_1_b_0_-_1_C_4_c_0_E_5_D_4_A_0_-_7_f	0.458
3kff_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_3_I_2_J_6_C_3_H_0_-_4_I_2_I_0_-_6_k_0_-_4_b_0_B_0_-_0_-_0_b_4_c	0.416
1r0u_A	_0_G_4_F_2_H_0_l_11_G_5_F	_2_I_2_I_2_G_0_-_2_F_3_G	0.441
4xht_A	_9_c_4_n_12_A_5_b_0_-_0_B	_0_d_3_m_8_A_5_f_2_i_13_A	0.499
6t4v_B	_0_G_0_-_4_F_0_-_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k	_3_D_3_h_5_B_1_b_15_k_4_C_8_k_3_D_7_k_6_E_1_d_1_k_4_C_5_j_3_C_0_-_0_-_0_-_11_e_4_C_2_n_0_-_3_e_3_f_2_j	0.357
2pyt_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_B_5_B_1_b_0_-_3_A_1_b_5_A_1_B_0_-_1_b	0.384
1h3g_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_0_-_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_0_-_8_n_0_-_3_b_0_-_13_c_0_-_5_c_21_k_4_b_0_-_6_g	_4_F_8_E_6_H_0_-_2_I_17_B_9_b_21_e_1_f_3_B_4_A_6_b_5_D_6_k_3_D_0_-_32_c_6_h_7_A_4_m_3_C_2_b_2_i_16_d_20_d_2_c_8_j_3_b_1_B_14_c	0.450
5ck3_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_0_E_4_E_5_g_33_D_4_D_0_-_9_o	0.408
1xk4_A	_8_n_3_b_13_c_5_c_21_k	_0_m_10_j_2_c_3_g_9_n	0.462
4n1j_C	_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_f_2_k_0_-_9_e_2_e_8_j_0_-_2_k	0.378
6lkz_C	_0_G_4_F_2_H_0_-_0_l_11_G_0_-_0_-_5_F_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_1_D_2_F_8_G_4_D_7_l_2_E_5_k_5_e_11_C_0_i_5_D_1_k_0_-_3_b_2_E_5_E_0_-_0_-_6_g_9_o_0_-_4_p_7_f_3_l_17_b_7_d_17_g	0.398
1xr5_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_0_-_4_b_0_-_6_g	_0_E_1_c_0_-_13_A_1_b_7_A_0_-_0_-_0_-_13_e_12_l_10_e_17_c_3_c_8_i_5_D_3_A_1_d_5_C_2_f	0.467
2q2l_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A	_0_E_7_G_0_-_5_G_4_G_7_d_0_-_22_F_0_-_5_F_14_D_22_E_1_A	0.486
5o6f_A	_0_G_4_F_2_H_0_l_11_G_5_F	_0_H_4_E_6_C_0_-_15_I_2_J	0.496
1f45_B	_8_n_3_b_13_c_5_c_0_-_21_k	_0_n_0_-_4_c_3_d_13_r_9_l	0.570
5qqh_B	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_p_5_d_12_d_2_e_6_e_4_b_1_e	0.512
3evt_A	_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_C_5_i_4_C_8_b_0_D_4_f_7_B_10_e_3_B_4_m_0_-_2_g_18_D_3_j_3_E_10_C_0_b_1_e_2_C_5_b_0_-_5_d_6_C_3_b_2_h	0.356
4jsd_A	_0_G_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_0_-_0_-_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_2_G_2_E_0_-_13_k_7_c_0_G_2_E_6_h_6_i_0_-_2_b_5_b_6_F_2_E_6_c_6_D_4_h_5_A_0_-_8_c_5_B_9_H_9_i_2_f_18_e_2_g_0_-_10_i	0.359
2jxm_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_F_3_D_2_C_0_-_4_E_7_D_6_c_0_-_12_C_0_-_5_D_9_F	0.413
7bbz_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k	_1_E_1_A_3_b_6_A_3_l_4_E_8_k_2_F_3_h_0_-_8_C_6_b_3_f_5_B_0_-_0_-_0_-_3_e_4_k_3_i_6_D_3_d_1_e_4_j	0.408
1fb5_A	_0_G_0_-_4_F_0_-_2_H_0_-_0_-_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_0_-_5_B_6_A_9_b_2_d_8_n	_3_E_4_k_3_D_12_i_4_C_3_h_5_B_7_l_6_E_3_k_2_D_0_-_8_k_3_C_2_b_6_D_8_c_1_b_8_e_5_B_0_-_6_b_2_c_6_n	0.360
6jtd_A	_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_0_-_0_-_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_0_-_5_c_0_-_21_k_0_-_4_b_6_g	_0_E_3_l_4_E_6_j_5_D_6_d_4_i_2_h_7_C_4_h_3_E_3_l_4_b_4_B_2_C_0_-_1_b_2_c_6_j_4_C_7_h_1_c_6_B_15_e_7_D_8_k_2_E_20_d_4_c	0.358
2qfr_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_0_-_13_c_5_c_0_-_0_-_21_k	_9_F_7_F_7_E_0_-_6_C_1_B_10_F_0_-_0_-_7_E_0_-_6_E_10_E_6_j_6_C_6_b_1_b_2_k_4_B_3_b_4_b_6_e_4_c_7_D_2_D_11_j	0.381
2oar_A	_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_h_2_o_0_-_5_f_4_B_11_B_0_-_1_m_6_g_6_m	0.412
